Year,Month,HRMS
1975,5,123.417
1975,6,123.705
1975,7,123.523
1975,8,122.91
1975,9,122.999
1975,10,122.977
1975,11,122.265
1975,12,122.777
1976,1,122.848
1976,2,123.023
1976,3,123.148
1976,4,122.706
1976,5,123.188
1976,6,123.051
1976,7,123.391
1976,8,123.411
1976,9,123.547
1976,10,123.467
1976,11,123.487
1976,12,123.303
1977,1,123.181
1977,2,123.11
1977,3,123.277
1977,4,123.41
1977,5,123.272
1977,6,122.579
1977,7,121.447
1977,8,121.759
1977,9,121.778
1977,10,122.94
1977,11,123.461
1977,12,123.33
1978,1,121.903
1978,2,121.485
1978,3,121.317
1978,4,119.539
1978,5,118.084
1978,6,119.271
1978,7,119.666
1978,8,121.789
1978,9,121.602
1978,10,119.944
1978,11,120.853
1978,12,120.74
1979,1,119.622
1979,2,118.889
1979,3,118.04
1979,4,116.108
1979,5,116.772
1979,6,114.502
1979,7,114.926
1979,8,113.033
1979,9,114.075
1979,10,115.671
1979,11,115.654
1979,12,117.612
1980,1,116.809
1980,2,116.26
1980,3,117.449
1980,4,115.743
1980,5,115.679
1980,6,113.484
1980,7,113.667
1980,8,114.414
1980,9,114.141
1980,10,112.547
1980,11,111.156
1980,12,111.32
1981,1,114.298
1981,2,112.458
1981,3,112.265
1981,4,111.166
1981,5,109.976
1981,6,112.499
1981,7,113.477
1981,8,113.666
1981,9,114.401
1981,10,111.25
1981,11,111.813
1981,12,113.893
1982,1,115.263
1982,2,112.269
1982,3,114.91
1982,4,115.423
1982,5,116.037
1982,6,111.356
1982,7,107.51
1982,8,107.96
1982,9,106.103
1982,10,108.671
1982,11,109.855
1982,12,107.998
1983,1,109.893
1983,2,111.626
1983,3,113.26
1983,4,113.404
1983,5,110.418
1983,6,112.091
1983,7,113.892
1983,8,113.565
1983,9,114.077
1983,10,114.467
1983,11,115.068
1983,12,115.085
1984,1,117.125
1984,2,116.385
1984,3,115.202
1984,4,114.527
1984,5,111.916
1984,6,113.508
1984,7,114.26
1984,8,115.419
1984,9,115.926
1984,10,116.075
1984,11,115.666
1984,12,116.164
1985,1,116.973
1985,2,118.384
1985,3,118.849
1985,4,119.757
1985,5,119.831
1985,6,121.346
1985,7,121.59
1985,8,121.599
1985,9,122.304
1985,10,122.019
1985,11,122.362
1985,12,122.097
1986,1,122.164
1986,2,120.331
1986,3,121.791
1986,4,123.477
1986,5,124.003
1986,6,124.352
1986,7,124.392
1986,8,124.403
1986,9,124.175
1986,10,124.554
1986,11,123.156
1986,12,124.297
1987,1,125.32
1987,2,125.949
1987,3,125.991
1987,4,125.521
1987,5,124.927
1987,6,123.596
1987,7,123.156
1987,8,122.36
1987,9,121.423
1987,10,121.504
1987,11,120.255
1987,12,120.221
1988,1,118.628
1988,2,118.976
1988,3,119.108
1988,4,118.836
1988,5,119.196
1988,6,118.783
1988,7,117.25
1988,8,116.856
1988,9,117.234
1988,10,116.714
1988,11,116.316
1988,12,114.662
1989,1,113.186
1989,2,113.025
1989,3,108.198
1989,4,109.012
1989,5,107.249
1989,6,108.154
1989,7,110.88
1989,8,109.272
1989,9,107.757
1989,10,105.057
1989,11,104.169
1989,12,105.819
1990,1,107.654
1990,2,108.317
1990,3,107.191
1990,4,104.975
1990,5,104.508
1990,6,105.34
1990,7,107.835
1990,8,107.424
1990,9,108.802
1990,10,110.706
1990,11,111.799
1990,12,111.667
1991,1,113.769
1991,2,113.63
1991,3,107.055
1991,4,107.959
1991,5,108.401
1991,6,98.033
1991,7,98.974
1991,8,104.462
1991,9,108.331
1991,10,109.107
1991,11,109.015
1991,12,110.464
1992,1,110.973
1992,2,110.291
1992,3,112.187
1992,4,114.567
1992,5,113.76
1992,6,115.678
1992,7,117.272
1992,8,116.966
1992,9,116.262
1992,10,117.283
1992,11,116.93
1992,12,118.271
1993,1,117.737
1993,2,117.66
1993,3,116.817
1993,4,118.033
1993,5,118.344
1993,6,118.735
1993,7,118.758
1993,8,118.799
1993,9,119.329
1993,10,119.378
1993,11,119.763
1993,12,119.438
1994,1,119.56
1994,2,118.597
1994,3,118.396
1994,4,118.326
1994,5,118.794
1994,6,118.88
1994,7,119.411
1994,8,119.891
1994,9,120.464
1994,10,120.354
1994,11,120.279
1994,12,120.152
1995,1,120.8
1995,2,121.144
1995,3,120.677
1995,4,121.096
1995,5,121.291
1995,6,120.918
1995,7,120.801
1995,8,120.976
1995,9,121.322
1995,10,121.592
1995,11,121.585
1995,12,121.579
1996,1,121.334
1996,2,121.894
1996,3,122.054
1996,4,122.102
1996,5,121.789
1996,6,121.579
1996,7,121.56
1996,8,121.441
1996,9,121.293
1996,10,120.87
1996,11,120.702
1996,12,121.084
1997,1,122.285
1997,2,122.737
1997,3,122.749
1997,4,122.501
1997,5,122.774
1997,6,122.538
1997,7,122.346
1997,8,122.733
1997,9,122.455
1997,10,122.121
1997,11,121.924
1997,12,121.943
1998,1,121.379
1998,2,121.427
1998,3,121.741
1998,4,119.166
1998,5,118.065
1998,6,118.115
1998,7,119.193
1998,8,118.17
1998,9,119.448
1998,10,120.372
1998,11,119.631
1998,12,118.656
1999,1,117.181
1999,2,117.103
1999,3,117.452
1999,4,117.806
1999,5,117.459
1999,6,118.727
1999,7,119.19
1999,8,116.992
1999,9,115.388
1999,10,114.853
1999,11,114.499
1999,12,113.857
2000,1,114.506
2000,2,113.631
2000,3,112.042
2000,4,112.624
2000,5,110.43
2000,6,108.818
2000,7,107.204
2000,8,109.218
2000,9,110.302
2000,10,112.463
2000,11,109.873
2000,12,110.872
2001,1,112.21
2001,2,114.189
2001,3,115.202
2001,4,109.775
2001,5,111.944
2001,6,112.837
2001,7,113.229
2001,8,111.386
2001,9,111.376
2001,10,110.587
2001,11,112.337
2001,12,112.53
2002,1,109.852
2002,2,112.582
2002,3,111.331
2002,4,111.225
2002,5,111.15
2002,6,111.681
2002,7,110.207
2002,8,108.504
2002,9,110.011
2002,10,110.774
2002,11,109.111
2002,12,109.758
2003,1,112.889
2003,2,112.593
2003,3,113.066
2003,4,112.477
2003,5,111.856
2003,6,109.628
2003,7,111.635
2003,8,112.481
2003,9,113.175
2003,10,111.416
2003,11,106.663
2003,12,112.751
2004,1,112.146
2004,2,114.904
2004,3,116.474
2004,4,116.97
2004,5,117.844
2004,6,117.709
2004,7,116.609
2004,8,117.259
2004,9,117.903
2004,10,119.837
2004,11,117.771
2004,12,118.504
2005,1,114.548
2005,2,117.508
2005,3,118.035
2005,4,118.543
2005,5,116.701
2005,6,117.888
2005,7,117.083
2005,8,116.537
2005,9,114.043
2005,10,118.334
2005,11,119.633
2005,12,119.78
2006,1,120.204
2006,2,121.472
2006,3,122.157
2006,4,122.294
2006,5,122.317
2006,6,122.221
2006,7,121.688
2006,8,121.757
2006,9,121.785
2006,10,122.7
2006,11,122.618
2006,12,121.383
2007,1,123.402
2007,2,123.226
2007,3,123.658
2007,4,124.213
2007,5,124.142
2007,6,124.121
2007,7,123.908
2007,8,123.714
2007,9,123.843
2007,10,124.061
2007,11,123.926
2007,12,124.217
2008,1,123.981
2008,2,123.832
2008,3,123.86
2008,4,124.134
2008,5,123.881
2008,6,123.755
2008,7,124.006
2008,8,124.375
2008,9,124.421
2008,10,124.648
2008,11,124.968
2008,12,125.441
2009,1,125.777
2009,2,126.402
2009,3,126.577
2009,4,126.757
2009,5,126.877
2009,6,126.59
2009,7,126.626
2009,8,126.396
2009,9,126.409
2009,10,126.58
2009,11,126.629
2009,12,126.828
2010,1,126.577
2010,2,125.532
2010,3,124.705
2010,4,123.78
2010,5,124.171
2010,6,123.724
2010,7,123.775
2010,8,123.557
2010,9,123.48
2010,10,123.9
2010,11,123.407
2010,12,123.252
2011,1,124.03
2011,2,124.121
2011,3,122.951
2011,4,121.003
2011,5,122.179
2011,6,119.672
2011,7,120.688
2011,8,120.944
2011,9,120.777
2011,10,120.433
2011,11,121.441
2011,12,122.724
2012,1,122.133
2012,2,121.079
2012,3,118.621
2012,4,121.703
2012,5,121.41
2012,6,120.284
2012,7,117.426
2012,8,118.244
2012,9,119.598
2012,10,119.416
2012,11,119.795
2012,12,120.331
2013,1,121.27
2013,2,121.332
2013,3,119.902
2013,4,119.995
2013,5,117.497
2013,6,117.622
2013,7,118.38
2013,8,118.831
2013,9,118.913
2013,10,120.06
2013,11,119.631
2013,12,118.794
2014,1,118.733
2014,2,117.261
2014,3,117.901
2014,4,118.377
2014,5,119.18
2014,6,117.469
2014,7,118.129
2014,8,119.085
2014,9,117.769
2014,10,117.676
2014,11,117.169
2014,12,115.517
2015,1,117.178
2015,2,117.388
2015,3,116.028
2015,4,116.894
2015,5,117.912
2015,6,117.401
2015,7,118.772
2015,8,118.777
2015,9,118.651
2015,10,118.824
2015,11,119.162
2015,12,119.827
