Data,BKSN
01/05/2009,111.932
01/06/2009,111.441
01/07/2009,111.679
01/08/2009,110.614
01/09/2009,110.156
01/10/2009,109.754
01/11/2009,109.908
01/12/2009,110.314
01/01/2010,109.285
01/02/2010,109.06
01/03/2010,108.873
01/04/2010,108.312
01/05/2010,108.729
01/06/2010,108.951
01/07/2010,108.995
01/08/2010,108.198
01/09/2010,107.262
01/10/2010,106.974
01/11/2010,107.133
01/12/2010,107.508
01/01/2011,107.99
01/02/2011,109.042
01/03/2011,108.045
01/04/2011,107.615
01/05/2011,107.633
01/06/2011,105.337
01/07/2011,108.654
01/08/2011,107.591
01/09/2011,106.661
01/10/2011,106.115
01/11/2011,106.31
01/12/2011,106.576
01/01/2012,104.861
01/02/2012,102.283
01/03/2012,103.57
01/04/2012,107.731
01/05/2012,107.372
01/06/2012,106.684
01/07/2012,104.393
01/08/2012,104.864
01/09/2012,105.649
01/10/2012,105.064
01/11/2012,105.012
01/12/2012,105.458
01/01/2013,104.541
01/02/2013,105.457
01/03/2013,105.287
01/04/2013,103.865
01/05/2013,107.109
01/06/2013,111.585
01/07/2013,112.492
01/08/2013,118.843
01/09/2013,118.627
01/10/2013,119.697
01/11/2013,119.209
01/12/2013,119.803
01/01/2014,117.97
01/02/2014,116.982
01/03/2014,118.287
01/04/2014,118.286
01/05/2014,118.844
01/06/2014,117.804
01/07/2014,118.411
01/08/2014,118.87
01/09/2014,117.658
01/10/2014,116.951
01/11/2014,115.707
01/12/2014,114.842
01/01/2015,114.326
01/02/2015,115.689
01/03/2015,115.842
01/04/2015,117.208
01/05/2015,118.441
01/06/2015,117.514
01/07/2015,118.665
01/08/2015,118.52
01/09/2015,118.144
01/10/2015,118.483
01/11/2015,118.441
01/12/2015,118.615
01/01/2016,119.566
01/02/2016,119.216
01/03/2016,121.9
01/04/2016,121.612
01/05/2016,121.771
01/06/2016,121.512
01/07/2016,121.618
01/08/2016,121.433
01/12/2016,120.653
01/01/2017,121.459
01/02/2017,122.041
01/03/2017,125.278
01/04/2017,123.866
01/05/2017,123.457
01/06/2017,123.276
01/07/2017,122.196
01/08/2017,120.933
01/09/2017,123.993
01/10/2017,125.798
01/11/2017,127.531
01/12/2017,126.152
01/01/2018,122.36
01/02/2018,124.272
01/03/2018,124.731
01/04/2018,124.834
01/05/2018,124.313
01/06/2018,124.169
01/07/2018,123.455
01/08/2018,123.715
01/09/2018,123.978
01/10/2018,124.157
01/11/2018,124.634
01/12/2018,125.561
01/01/2019,125.509
01/02/2019,125.097
01/03/2019,126.952
01/04/2019,126.567
01/05/2019,125.382
01/06/2019,125.429
01/07/2019,125.731
01/08/2019,124.177
01/09/2019,124.97
01/10/2019,125.76
01/11/2019,124.654
01/12/2019,124.172
01/01/2020,125.019
01/02/2020,125.643
01/03/2020,125.872
01/04/2020,126.904
01/05/2020,125.938
01/06/2020,125.615
01/07/2020,125.083
01/08/2020,126.712
01/09/2020,126.662
01/10/2020,126.949
01/11/2020,127.371
01/12/2020,126.632
01/01/2021,127.246
01/02/2021,125.845
01/03/2021,126.532
01/04/2021,127.101
01/05/2021,127.245
01/06/2021,126.807
01/07/2021,126.549
01/08/2021,126.062
01/09/2021,126.676
01/10/2021,126.594
01/11/2021,126.022
01/12/2021,126.82
01/01/2022,127.188
01/02/2022,127.009
01/03/2022,126.91
01/04/2022,125.934
01/05/2022,124.986
01/06/2022,122.908
01/07/2022,121.857
