Data,DJON
01/10/2011,140.398
01/11/2011,140.484
01/12/2011,141.486
01/01/2012,141.687
01/02/2012,141.272
01/03/2012,139.288
01/04/2012,142.458
01/05/2012,142.397
01/06/2012,141.294
01/07/2012,138.455
01/08/2012,140.269
01/09/2012,141.082
01/10/2012,141.068
01/11/2012,141.596
01/12/2012,140.493
01/01/2013,140.584
01/02/2013,140.977
01/03/2013,141.086
01/04/2013,141.407
01/05/2013,140.167
01/06/2013,140.382
01/08/2013,141.085
01/09/2013,140.801
01/10/2013,140.706
01/11/2013,139.465
01/12/2013,140.386
01/01/2014,140.768
01/02/2014,140.221
01/04/2014,140.489
01/05/2014,141.343
01/06/2014,140.767
01/07/2014,140.12
01/08/2014,140.224
01/09/2014,139.497
01/10/2014,138.973
01/11/2014,138.397
01/12/2014,137.947
01/01/2015,138.553
01/02/2015,138.857
01/03/2015,138.496
01/04/2015,138.919
01/05/2015,139.627
01/06/2015,139.627
01/07/2015,139.974
01/08/2015,139.168
01/09/2015,139.705
01/10/2015,139.915
01/11/2015,139.754
01/12/2015,139.49
01/01/2016,138.977
01/02/2016,140.959
01/03/2016,140.859
01/04/2016,140.569
01/05/2016,140.684
01/06/2016,141.794
01/08/2016,141.575
01/09/2016,140.838
01/10/2016,140.955
01/11/2016,141.453
01/12/2016,142.662
01/01/2017,142.782
01/02/2017,142.134
01/04/2017,142.732
01/05/2017,142.451
01/06/2017,142.562
01/07/2017,141.293
01/08/2017,141.043
01/09/2017,141.457
01/10/2017,141.459
01/11/2017,142.227
01/12/2017,142.155
01/01/2018,141.954
01/02/2018,142.31
01/03/2018,142.316
01/04/2018,142.669
01/05/2018,142.246
01/06/2018,142.826
01/07/2018,142.006
01/08/2018,142.404
01/09/2018,142.152
01/10/2018,141.964
01/11/2018,141.5
01/12/2018,140.783
01/01/2019,140.97
01/02/2019,141.169
01/03/2019,141.914
01/04/2019,142.383
01/05/2019,141.989
01/06/2019,142.351
01/07/2019,142.111
01/08/2019,141.92
01/09/2019,142.159
01/10/2019,142.306
01/11/2019,142.219
01/12/2019,142.246
01/01/2020,142.977
01/02/2020,141.596
01/04/2021,129.7
01/07/2021,130.431
01/08/2021,131.501
01/09/2021,128.811
01/10/2021,130.838
01/11/2021,136.39
01/12/2021,141.723
