Data,FSMT
01/10/2000,195.216
01/11/2000,188.693
01/12/2000,189.91
01/01/2001,189.966
01/02/2001,193.64
01/03/2001,196.151
01/04/2001,190.855
01/05/2001,197.611
01/06/2001,199.586
01/07/2001,200.273
01/08/2001,196.277
01/09/2001,196.438
01/10/2001,193.993
01/11/2001,194.512
01/12/2001,194.124
01/01/2002,188.838
01/02/2002,193.648
01/03/2002,191.5
01/04/2002,192.452
01/05/2002,196.373
01/06/2002,198.532
01/07/2002,193.348
01/08/2002,189.017
01/09/2002,192.413
01/10/2002,193.627
01/11/2002,189.481
01/12/2002,190.414
01/01/2003,193.319
01/02/2003,193.03
01/03/2003,193.127
01/04/2003,192.097
01/05/2003,192.126
01/06/2003,188.118
01/07/2003,191.65
01/08/2003,193.514
01/09/2003,195.442
01/10/2003,191.751
01/11/2003,180.666
01/12/2003,192.247
01/01/2004,190.818
01/02/2004,196.432
01/03/2004,200.001
01/04/2004,202.294
01/05/2004,206.134
01/06/2004,206.524
01/07/2004,203.628
01/08/2004,205.199
01/09/2004,206.724
01/10/2004,211.09
01/11/2004,204.943
01/12/2004,206.048
01/01/2005,197.477
01/02/2005,202.349
01/03/2005,203.806
01/04/2005,207.125
01/05/2005,203.989
01/06/2005,207.762
01/07/2005,206.303
01/08/2005,204.477
01/09/2005,199.395
01/10/2005,209.009
01/11/2005,210.962
01/12/2005,209.787
01/01/2006,209.392
01/02/2006,213.463
01/03/2006,215.113
01/04/2006,216.469
01/05/2006,218.433
01/06/2006,218.856
01/07/2006,217.87
01/08/2006,218.176
01/09/2006,218.602
01/10/2006,220.237
01/11/2006,217.654
01/12/2006,212.178
01/01/2007,216.372
01/02/2007,216.262
01/03/2007,217.963
01/04/2007,220.656
01/05/2007,223.185
01/06/2007,224.011
01/07/2007,223.154
01/08/2007,222.951
01/09/2007,223.317
01/10/2007,223.554
01/11/2007,221.537
01/12/2007,221.486
01/01/2008,219.896
01/02/2008,219.321
01/03/2008,219.818
01/04/2008,220.83
01/05/2008,222.566
01/06/2008,222.892
01/07/2008,224.06
01/08/2008,225.131
01/09/2008,226.018
01/10/2008,225.867
01/11/2008,224.758
01/12/2008,225
01/01/2009,224.539
01/02/2009,225.856
01/03/2009,226.138
01/04/2009,228.079
01/05/2009,230.678
01/06/2009,230.17
01/07/2009,229.67
01/08/2009,229.889
01/09/2009,230.227
01/10/2009,230.675
01/11/2009,229.807
01/12/2009,229.514
01/01/2010,227.373
01/02/2010,224.219
01/03/2010,223.539
01/04/2010,221.985
01/05/2010,223.619
01/06/2010,223.074
01/07/2010,223.528
01/08/2010,222.026
01/09/2010,221.976
01/10/2010,222.413
01/11/2010,221.561
01/12/2010,219.399
01/01/2011,219.202
01/02/2011,219.993
01/03/2011,216.901
01/04/2011,213.368
01/05/2011,217.423
01/06/2011,212.719
01/07/2011,214.11
01/08/2011,214.532
01/09/2011,214.254
01/10/2011,213.188
01/11/2011,215.311
01/12/2011,216.479
01/01/2012,214.249
01/02/2012,211.777
01/03/2012,204.96
01/04/2012,212.243
01/05/2012,215.325
01/06/2012,212.673
01/07/2012,206.054
01/08/2012,206.691
01/09/2012,209.745
01/10/2012,209.76
01/11/2012,208.809
01/12/2012,208.875
01/01/2013,211.16
01/02/2013,211.318
01/03/2013,208.308
01/04/2013,209.121
01/05/2013,204.92
01/06/2013,204.759
01/07/2013,206.684
01/08/2013,207.476
01/09/2013,208.001
01/10/2013,210.679
01/11/2013,209.257
01/12/2013,206.813
01/01/2014,205.869
01/02/2014,202.37
01/03/2014,203.279
01/04/2014,204.555
01/05/2014,208.966
01/06/2014,206.253
01/07/2014,207.747
01/08/2014,209.657
01/09/2014,207.768
01/10/2014,207.547
01/11/2014,206.304
01/12/2014,200.513
01/01/2015,202.688
01/02/2015,202.789
01/03/2015,199.766
01/04/2015,202.473
01/05/2015,206.965
01/06/2015,206.492
01/07/2015,208.833
01/08/2015,209.18
01/09/2015,209.645
01/10/2015,208.272
01/11/2015,207.173
01/12/2015,207.146
01/01/2016,209.443
01/02/2016,210.55
01/03/2016,212.384
01/04/2016,213.07
01/05/2016,216.994
01/06/2016,218.314
01/07/2016,218.732
01/08/2016,219.633
01/09/2016,218.779
01/10/2016,220.21
01/11/2016,219.8
01/12/2016,219.41
01/01/2017,219.766
01/02/2017,220.746
01/03/2017,220.962
01/04/2017,220.745
01/05/2017,223.28
01/06/2017,225.25
01/07/2017,223.742
01/08/2017,221.035
01/09/2017,218.805
01/10/2017,220.555
01/11/2017,221.927
01/12/2017,220.189
01/01/2018,219.521
01/02/2018,220.004
01/03/2018,220.814
01/04/2018,223
01/05/2018,225.817
01/06/2018,227.116
01/07/2018,227.75
01/08/2018,228.039
01/09/2018,227.968
01/10/2018,227.684
01/11/2018,226.001
01/12/2018,224.63
01/01/2019,222.901
01/02/2019,223.182
01/03/2019,224.833
01/04/2019,227.042
01/05/2019,225.672
01/06/2019,227.993
01/07/2019,227.726
01/08/2019,227.408
01/09/2019,227.859
01/10/2019,227.579
01/11/2019,226.508
01/12/2019,225.119
01/01/2020,225.011
01/02/2020,225.342
01/03/2020,226.1
01/04/2020,226.098
01/05/2020,228.394
01/06/2020,228.968
01/07/2020,228.021
01/08/2020,227.959
01/09/2020,228.158
01/10/2020,227.942
01/11/2020,225.035
01/12/2020,223.831
01/01/2021,223.418
01/02/2021,223.066
01/03/2021,223.298
01/04/2021,224.023
01/05/2021,226.316
01/06/2021,227.182
01/07/2021,225.879
01/08/2021,227.427
01/09/2021,226.668
01/10/2021,227.02
01/11/2021,223.073
01/12/2021,222.354
01/01/2022,219.795
01/02/2022,217.706
01/03/2022,218.703
01/04/2022,219.229
01/05/2022,218.83
01/06/2022,216.639
01/07/2022,214.095
