Data,IRK2
01/03/2009,495.302
01/04/2009,496.035
01/05/2009,495.121
01/06/2009,494.507
01/07/2009,495.292
01/08/2009,494.538
01/09/2009,494.27
01/10/2009,497.149
01/11/2009,497.352
01/12/2009,499.533
01/01/2010,495.561
01/02/2010,491.483
01/03/2010,487.048
01/04/2010,475.56
01/05/2010,479.833
01/06/2010,481.231
01/07/2010,480.435
01/08/2010,479.061
01/09/2010,478.02
01/10/2010,480.036
01/02/2011,480.162
01/03/2011,474.765
01/04/2011,464.732
01/05/2011,476.81
01/06/2011,471.551
01/08/2011,460.983
01/11/2011,466.826
01/12/2011,475.854
01/01/2012,475.547
01/02/2012,471.792
01/04/2012,470.922
01/05/2012,470.35
01/06/2012,464.829
01/07/2012,451.696
01/08/2012,454.076
01/09/2012,460.995
01/10/2012,462.734
01/11/2012,464.059
01/12/2012,466.202
01/01/2013,468.03
01/08/2014,6666.064
01/09/2014,421.537
01/10/2014,420.739
01/11/2014,420.85
01/12/2014,415.191
01/01/2015,419.303
01/02/2015,418.096
01/03/2015,411.905
01/04/2015,413.91
01/05/2015,420.303
01/06/2015,418.357
01/07/2015,421.785
01/08/2015,424.211
01/09/2015,424.637
01/10/2015,425.182
01/11/2015,429.142
01/12/2015,427.422
01/01/2016,437.415
01/02/2016,444.117
01/03/2016,441.64
01/04/2016,408.319
01/05/2016,443.097
01/06/2016,446.399
01/07/2016,364.435
01/09/2016,366.847
01/10/2016,369.879
01/11/2016,374.712
01/12/2016,374.388
01/01/2017,377.173
01/02/2017,379.833
01/03/2017,374.573
01/04/2017,97.096
01/05/2017,97.074
01/06/2017,97.414
01/07/2017,96.76
01/08/2017,93.164
01/09/2017,95.546
01/10/2017,96.11
01/11/2017,97.485
01/12/2017,97.781
01/01/2018,98.553
01/02/2018,98.134
01/03/2018,90.547
01/04/2018,96.01
01/05/2018,92.936
01/06/2018,94.198
01/07/2018,77.79
01/08/2018,97.841
01/09/2018,97.255
01/10/2018,98.123
01/11/2018,98.143
01/12/2018,98.598
01/01/2019,98.537
01/02/2019,98.067
01/03/2019,98.79
01/04/2019,98.58
01/05/2019,97.692
01/06/2019,98.329
01/07/2019,97.833
01/08/2019,97.277
01/09/2019,97.68
01/10/2019,95.197
01/11/2019,97.317
01/12/2019,98.623
01/01/2020,98.358
01/02/2020,98.968
01/03/2020,99.608
01/04/2020,99.297
01/05/2020,96.975
01/06/2020,99.502
01/07/2020,98.374
