Data,IRKT
01/02/1999,56
01/09/2010,189.914
01/02/2011,214.728
01/03/2011,212.1
01/04/2011,209.553
01/05/2011,231.368
01/06/2011,208.013
01/07/2011,209.287
01/08/2011,209.37
01/09/2011,209.131
01/10/2011,208.163
01/11/2011,210.019
01/12/2011,211.285
01/01/2012,209.359
01/02/2012,207.078
01/03/2012,202.959
01/04/2012,210.413
01/05/2012,211.364
01/01/2017,184.786
01/02/2017,187.75
01/03/2017,196.803
01/04/2017,222.832
01/05/2017,222.96
01/06/2017,223.337
01/07/2017,219.197
01/08/2017,218.895
01/09/2017,216.363
01/10/2017,217.129
01/11/2017,219.185
01/12/2017,218.117
01/01/2018,218.755
01/02/2018,219.037
01/03/2018,219.12
01/04/2018,220.658
01/05/2018,221.417
01/06/2018,221.636
01/07/2018,222.153
01/08/2018,221.1
01/09/2018,221.059
01/10/2018,220.731
01/11/2018,220.716
01/12/2018,219.487
01/01/2019,218.446
01/02/2019,219.626
01/03/2019,221.149
01/04/2019,222.17
01/05/2019,220.444
01/06/2019,221.492
01/07/2019,221.159
01/08/2019,221.031
01/09/2019,221.76
01/10/2019,219.517
01/11/2019,220.424
01/12/2019,219.513
01/01/2020,222.324
01/02/2020,220.351
01/03/2020,220.946
01/04/2020,221.745
01/05/2020,221.876
01/06/2020,221.825
01/07/2020,220.165
01/08/2020,220.093
01/09/2020,219.861
01/10/2020,220.039
01/11/2020,219.49
01/12/2020,217.212
01/01/2021,215.066
01/02/2021,216.11
01/03/2021,217.551
01/04/2021,217.964
01/05/2021,214.338
01/06/2021,216.637
01/07/2021,214.207
01/08/2021,215.163
01/09/2021,215.8
01/10/2021,215.728
01/11/2021,196.227
01/12/2021,213.785
01/01/2022,210.8
01/02/2022,210.945
01/03/2022,213.584
01/04/2022,212.383
01/06/2022,206.985
01/07/2022,207.05
