Data,JBGO
01/12/2015,266.979
01/01/2016,269.959
01/02/2016,272.612
01/03/2016,271.606
01/04/2016,270.634
01/05/2016,271.344
01/06/2016,274.937
01/07/2016,273.93
01/08/2016,276.145
01/09/2016,276.042
01/10/2016,277.041
01/11/2016,277.57
01/12/2016,279.25
01/01/2017,279.463
01/02/2017,279.821
01/03/2017,280.307
01/04/2017,278.287
01/05/2017,279.256
01/06/2017,280.985
01/07/2017,279.919
01/08/2017,276.55
01/09/2017,273.017
01/10/2017,273.351
01/11/2017,277.382
01/12/2017,278.41
01/01/2018,279.821
01/02/2018,278.836
01/03/2018,275.747
01/04/2018,277.672
01/05/2018,278.989
01/06/2018,280.034
01/07/2018,280.111
01/08/2018,280.206
01/09/2018,281.026
01/10/2018,281.631
01/11/2018,281.271
01/12/2018,280.232
01/01/2019,278.121
01/02/2019,278.986
01/03/2019,279.487
01/04/2019,279.938
01/05/2019,278.156
01/06/2019,279.956
01/07/2019,279.445
01/01/2020,280.897
01/02/2020,286.271
01/03/2020,285.907
01/04/2020,286.346
01/05/2020,286.685
01/06/2020,287.17
01/07/2020,286.735
01/08/2020,286.694
01/09/2020,285.778
01/10/2020,285.803
01/11/2020,286.692
01/12/2020,284.843
01/01/2021,285.325
01/02/2021,284.928
01/03/2021,283.968
01/04/2021,283.996
01/05/2021,284.159
01/06/2021,284.508
01/07/2021,283.058
01/08/2021,283.06
01/09/2021,284.253
01/10/2021,283.283
01/11/2021,281.916
01/12/2021,284.437
