Data,KIEL2
01/02/2010,212.274
01/05/2010,169.551
01/06/2010,222.645
01/07/2010,257.181
01/08/2010,183.103
01/09/2010,182.189
01/10/2010,182.775
01/01/2011,189.638
01/02/2011,184.509
01/03/2011,181.442
01/04/2011,177.925
01/05/2011,179.898
01/06/2011,175.764
01/07/2011,178.139
01/08/2011,118.703
01/09/2011,126.76
01/10/2011,157.066
01/11/2011,178.854
01/12/2011,181.813
01/01/2012,180.204
01/02/2012,178.324
01/03/2012,172.794
01/04/2012,178.764
01/05/2012,178.673
01/06/2012,175.457
01/07/2012,172.751
01/08/2012,173.336
01/09/2012,175.332
01/10/2012,175.006
01/11/2012,175.28
01/12/2012,175.961
01/01/2013,177.086
01/02/2013,177.816
01/03/2013,175.563
01/04/2013,175.933
01/05/2013,171.609
01/06/2013,170.329
01/07/2013,166.002
01/08/2013,172.897
01/09/2013,174.3
01/10/2013,174.907
01/11/2013,174.194
01/12/2013,172.648
01/01/2014,171.951
01/02/2014,162.255
01/03/2014,162.758
01/04/2014,163.545
01/05/2014,165.31
01/06/2014,163.237
01/07/2014,165.354
01/08/2014,166.196
01/09/2014,165.987
01/10/2014,165.859
01/11/2014,163.63
01/12/2014,148.677
01/01/2015,117.91
01/02/2015,162.967
01/03/2015,160.761
01/04/2015,161.853
01/05/2015,163.694
01/06/2015,162.784
01/07/2015,164.942
01/08/2015,165.086
01/09/2015,165.453
01/10/2015,165.73
01/11/2015,166.306
01/12/2015,167.108
01/01/2016,169.262
01/02/2016,171.793
01/03/2016,171.317
01/04/2016,171.647
01/05/2016,171.24
01/06/2016,171.706
01/07/2016,171.072
01/08/2016,171.688
01/09/2016,173.167
01/10/2016,174.326
01/11/2016,175.214
01/12/2016,174.797
01/01/2017,176.515
01/02/2017,177.182
01/03/2017,177.286
01/04/2017,175.958
01/05/2017,175.627
01/06/2017,176.025
01/07/2017,218.104
